Year/Month/Day or Period,Event,Category,Economic/Market Impact (S&P 500),,,,,,,,,,,,,,,,,,,,,
2024-3-31,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-1,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-2,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-3,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-4,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-5,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-6,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-7,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-8,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-9,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-10,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-11,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-12,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-13,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-14,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-15,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-16,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-17,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-18,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-19,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-20,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-21,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-22,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-23,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-24,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-25,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-26,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-27,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-28,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-29,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-4-30,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-1,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-2,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-3,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-4,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-5,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-6,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-7,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-8,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-9,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-10,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-11,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-12,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-13,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-14,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-15,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-16,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-17,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-18,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-19,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-20,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-21,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-22,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-23,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-24,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-25,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-26,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-27,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-28,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-29,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-30,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-5-31,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-1,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-2,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-3,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-4,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-5,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-6,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-7,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-8,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-9,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-10,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-11,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-12,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-13,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-14,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-15,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-16,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-17,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-18,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-19,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-20,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-21,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-22,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-23,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-24,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-25,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-26,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-27,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-28,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-29,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-6-30,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-1,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-2,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-3,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-4,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-5,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-6,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-7,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-8,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-9,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-10,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-11,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-12,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-13,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-14,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-15,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-16,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-17,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-18,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-19,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-20,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-21,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-22,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-23,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-24,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-25,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-26,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-27,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-28,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-29,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-30,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-7-31,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-1,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-2,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-3,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-4,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-5,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-6,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-7,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-8,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-9,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-10,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-11,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-12,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-13,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-14,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-15,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-16,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-17,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-18,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-19,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-20,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-21,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-22,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-23,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-24,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-25,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-26,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-27,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-28,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-29,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-30,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-8-31,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-1,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-2,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-3,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-4,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-5,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-6,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-7,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-8,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-9,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-10,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-11,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-12,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-13,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-14,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-15,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-16,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-17,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-18,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-19,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-20,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-21,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-22,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-23,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-24,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-25,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-26,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-27,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-28,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-29,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-9-30,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-1,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-2,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-3,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-4,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-5,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-6,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-7,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-8,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-9,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-10,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-11,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-12,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-13,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-14,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-15,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-16,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-17,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-18,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-19,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-20,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-21,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-22,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-23,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-24,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-25,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-26,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
2024-10-27,Hamas–Israel war outbreak,War/Geo,Airlines down; defense/energy up; index choppy,,,,,,,,,,,,,,,,,,,,,
